,precision,recall,f1-score,support
complex_assembly,1.0,0.8666666666666667,0.9285714285714286,15.0
high_complexity_rotor,0.9512195121951219,0.975,0.9629629629629629,40.0
medium_rotor,1.0,1.0,1.0,73.0
simple_rotor,0.9864864864864865,1.0,0.9931972789115646,73.0
symmetric_rotor,0.9565217391304348,0.9565217391304348,0.9565217391304348,23.0
accuracy,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571
macro avg,0.9788455475624087,0.9596376811594203,0.9682506819152781,224.0
weighted avg,0.9824209553630284,0.9821428571428571,0.9819218361947953,224.0
