,volume,edge_count,face_count,vertex_count,complexity_ratio,geometric_complexity,component_count,body_count,rotational_symmetry
volume,1.0,-0.02102457919156873,-0.020701447673579156,-0.02223283186092038,-0.0023649853449453457,-0.02143822831682238,-0.030306115290033762,0.0004706712662418905,-0.015575442763580933
edge_count,-0.02102457919156873,1.0,0.9851369194408521,0.9910228420469169,0.1826400709823883,0.9982588464700113,0.3620777808950429,0.4451870843176013,0.1877364562816809
face_count,-0.020701447673579156,0.9851369194408521,1.0,0.9799375322779995,0.12948462572853206,0.9904042001889168,0.38596405965128416,0.47925707228801673,0.12880175861898913
vertex_count,-0.02223283186092038,0.9910228420469169,0.9799375322779995,1.0,0.17815421306040452,0.9958015595382974,0.37255634031770535,0.46985674712514314,0.18636813091179416
complexity_ratio,-0.0023649853449453457,0.1826400709823883,0.12948462572853206,0.17815421306040452,1.0,0.17148072727868455,-0.050239217187598925,-0.03545938184297805,0.6931025530136344
geometric_complexity,-0.02143822831682238,0.9982588464700113,0.9904042001889168,0.9958015595382974,0.17148072727868455,1.0,0.37164864560005195,0.46169558785846276,0.17647086273447854
component_count,-0.030306115290033762,0.3620777808950429,0.38596405965128416,0.37255634031770535,-0.050239217187598925,0.37164864560005195,1.0,0.44910502758501114,-0.07085943546451133
body_count,0.0004706712662418905,0.4451870843176013,0.47925707228801673,0.46985674712514314,-0.03545938184297805,0.46169558785846276,0.44910502758501114,1.0,-0.04667721482798503
rotational_symmetry,-0.015575442763580933,0.1877364562816809,0.12880175861898913,0.18636813091179416,0.6931025530136344,0.17647086273447854,-0.07085943546451133,-0.04667721482798503,1.0
