Comparison,Hybrid_MRR,Other_MRR,Delta_MRR,Wilcoxon_stat,p_value,Significant,Cohen's_d,Effect_size
Hybrid vs Random,0.9761,0.4963,0.4798,136708.5,3.39e-85,YES,1.2948,Large
Hybrid vs Euclidean,0.9761,0.9304,0.0457,4292.0,4.70e-07,YES,0.2004,Small
Hybrid vs Jaccard (raw),0.9761,0.4557,0.5204,172781.0,2.82e-95,YES,1.5749,Large
Hybrid vs Technical,0.9761,0.9153,0.0607,5373.0,2.13e-10,YES,0.2553,Small
Hybrid vs Structural,0.9761,0.6375,0.3386,77736.0,1.48e-67,YES,0.9787,Large
Hybrid vs Semantic (Ontology),0.9761,0.9466,0.0295,2011.0,1.13e-05,YES,0.1581,Small
